,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Atividade,Sprint 1,Sprint 2,Sprint 3,Sprint 4,Sprint 5,Sprint 6,Sprint 7,Sprint 8,Sprint 9,Sprint 10,Sprint 11,Sprint 12,Sprint 13,Sprint 14
Identificação e Entendimento do Problema,X,,,,,,,,,,,,,
Planejamento,,X,,,,,,,,,,,,
Modelagem de Dados,,,X,,,,,,,,,,,
Prototipação (UI/UX),,,,X,,,,,,,,,,
Desenvolvimento do Front-end,,,,X,X,,,,,,,,,
Desenvolvimento do Front-end,,,,,,X,X,,,,,,,
Implementação de Funcionalidades,,,,,,,,X,X,,,,,
Desenvolvimento do Back-end,,,,,,,,,,X,,,,
Desenvolvimento do Back-end,,,,,,,,,,,X,,,
Testes e Correções,,,,,,,,,,,X,X,,
Preparação para Publicação,,,,,,,,,,,,,X,
Publicação e Entrega Final,,,,,,,,,,,,,,X
